CPF,Valor da DAS
283531,"2064,45"
101001,"1620,88"
519301,"1620,88"
458191,"2064,45"
745431,"3411,33"
349401,"1620,88"
779301,"1620,88"
26553,"6223,98"
82773,"2064,45"
469943,"2064,45"
43151,"1620,88"
592092,"2064,45"
305893,"2064,45"
357074,"1620,88"
336722,"2064,45"
545320,"2064,45"
600034,"1620,88"
321628,"2064,45"
590262,"6223,98"
933962,"2064,45"
593785,"2064,45"
574031,"3411,33"
79641,"3411,33"
281011,"8174,03"
855321,"10373,3"
262992,"8174,03"
624507,"3411,33"
398261,"6223,98"
418581,"8174,03"
640243,"6223,98"
922431,"6223,98"
569062,"2064,45"
477702,"1620,88"
423847,"3411,33"
795328,"10373,3"
956081,"3411,33"
386471,"2701,46"
274722,"2064,45"
356202,"3440,75"
711386,"5685,55"
251221,"10373,3"
344077,"10166,94"
453971,"4737,96"
966941,"2701,46"
147627,"3411,33"
490708,"3411,33"
613566,"10373,3"
412381,"2064,45"
502901,"1620,88"
849971,"2701,46"
388301,"1620,88"
16773,"6223,98"
749513,"1620,88"
14901,"1620,88"
858281,"3411,33"
997290,"16944,9"
148001,"3440,75"
456791,"1620,88"
309241,"3411,33"
28623,"2701,46"
380057,"1620,88"
622292,"2064,45"
357075,"2064,45"
768741,"2701,46"
15081,"10373,3"
443791,"3440,75"
801371,"5685,55"
419109,"2064,45"
210231,"2701,46"
827761,"3440,75"
593520,"5685,55"
457961,"1620,88"
987141,"2064,45"
489408,"2064,45"
909971,"2701,46"
129717,"16944,9"
331827,"12805,98"
749367,"8174,03"
552267,"6223,98"
161611,"3411,33"
44521,"10373,3"
244561,"3440,75"
380381,"2701,46"
608584,"5685,55"
449481,"2701,46"
828791,"6223,98"
423541,"1620,88"
544389,"2064,45"
89796,"10373,3"
194803,"2064,45"
613216,"2064,45"
16501,"6223,98"
113950,"10373,3"
180601,"1620,88"
278163,"10373,3"
555911,"3440,75"
17608,"5685,55"
553931,"3440,75"
56081,"6223,98"
,"5186,65"
,"6223,98"
,"3411,33"
,"5685,55"
,"5685,55"
,"3440,75"
,"3411,33"
,"8174,03"
,"2701,46"
,"2701,46"
,"6223,98"
,"1620,88"
,"2881,55"
,"5685,55"
,"8174,03"
,"3411,33"
