Nome_Unidade,UF_Unidade
COORD SUP REG DES LAV CAC EST.BA E ES,BA
INST NACIONAL DE METEOROLOGIA,DF
COORD GERAL ADM DE PESSOAS,DF
SUP FED AGRIC PEC ABAST EST CEARA-CE,CE
SUP FED AGRIC PEC ABAST EST MARANHAO-MA,MA
SUP FED AGRIC PEC ABAST EST MT GR SUL-MS,MS
SUP FED AGRIC PEC ABAST EST PIAUI-PI,PI
SUP FED AGRIC PEC ABAST EST R G NORTE-RN,RN
SUP FED AGRIC PEC ABAST EST RONDONIA-RO,RO
SUP FED AGRIC PEC ABAST EST PARAIBA-PB,PB
COORDENACAO-GERAL DE GESTAO DE PESSOAS,DF
COORDENACAO DE PAGAMENTOS E ENCARGOS,AM
DEPARTAMENTO DE GESTAO DE PESSOAS - DGP,DF
UNIDADE PAGADORA/DF,DF
COORD-GERAL DE GESTAO DE PESSOAS,DF
SUP FED AGRIC PEC ABAST EST GOIAS-GO,GO
SUP FED AGRIC PEC ABAST EST RORAIMA-RR,RR
COORDENACAO-GERAL DE RECURSOS HUMANOS,DF
SUP FED AGRIC PEC ABAST EST AMAPA-AP,AP
DIVISAO DE PAGAMENTOS,DF
SERV FLORESTAL BRASILEIRO,DF
SUP FED AGRIC PEC ABAST EST M GERAIS,MG
SUP FED AGRIC PEC ABAST EST R JANEIRO-RJ,RJ
SUP FED AGRIC PEC ABAST EST PARA-SFA-PA,PA
SUP FED AGRIC PEC ABAST EST BAHIA,BA
SUP FED AGRIC PEC ABAST EST SAO PAULO-SP,SP
SUPERINTENDENCIA REG. NO PR,PR
DIRETORIA ADMINISTRATIVO-FINANCEIRO,DF
DIRETORIA DE GESTAO DE PESSOAS,DF
DIVISAO DE PESSOAL,RN
SUP FED AGRIC PEC ABAST EST ESP SANTO-ES,ES
SUP FED AGRIC PEC ABAST EST AMAZONAS-AM,AM
SUP FED AGRIC PEC ABAST EST RIO G SUL-RS,RS
DIRETORIA GERAL - CAMPUS PATO BRANCO,PR
COORDENAÇÃO-GERAL DE GESTÃO DE PESSOAS,DF
SUP.DE ADM. FIN. E GESTAO DE PESSOAS,DF
COORDENACAO GERAL DE GESTAO DE PESSOAS,DF
SUP FED AGRIC PEC ABAST EST STA CATARINA,SC
SUP FED AGRIC PEC ABAST EST PARANA-PR,PR
SR/PF/PI,PI
SUP FED AGRIC PEC ABAST EST ALAGOAS-AL,AL
SUP FED AGRIC PEC ABAST EST PERNAMBUCO,PE
SUP FED AGRIC PEC ABAST EST TOCANTINS-TO,TO
PRO-REITORIA DE GESTÃO DE PESSOAS,PE
SUP FED AGRIC PEC ABAST EST M GROSSO-MT,MT
SUPERINTENDENCIA DE GESTAO DE PESSOAS,DF
SUP FED AGRIC PEC ABAST EST SERGIPE-SE,SE
DIVISAO DE ADMINISTRACAO,PR
DIVISAO DE ADMINISTRACAO,SE
DIRETORIA DE ADMINISTRAÇÃO,DF
SUP FED AGRIC PEC ABAST EST ACRE-AC,AC
SUPGP/GPATE/GPBSA,DF
UNIDADE DE PAGAMENTO DE PESSOAL,DF
PRO-REITORIA DE PESSOAL,RJ
REITORIA DO IFRO,RO
DIVISAO DE PAGAMENTO DE ATIVOS,RJ
CRH/DGP/PF,DF
COORD. GERAL DE GESTAO DE PESSOAS,DF
REITORIA,GO
CORPO DE BOMBEIROS MILITAR DISTR FEDERAL,DF
DEPARTAMENTO DE RECURSOS HUMANOS,MG
COORD. GERAL DE GEST. DE PESSOAS E ORGAN,DF
SECRETARIA DE RECURSOS HUMANOS,DF
Pró-Reitoria de Desenv.Gestão de Pessoas,SC
